,GSM1052046_5730053027_R06C02,GSM1051753_7800246044_R02C02,GSM1052111_5730192042_R04C02,GSM1052007_5771710059_R01C02,GSM1051948_5730504060_R06C02,GSM1052043_5730053027_R01C02,GSM1051566_7800246123_R06C01,GSM1051939_5730504060_R01C01,GSM1051533_7800246024_R03C02,GSM1051613_7800246188_R01C02,GSM1051547_7800246085_R05C02,GSM1052164_5730053030_R02C01,GSM1051860_7512560128_R05C02,GSM1051726_7800246040_R05C01,GSM1051827_7512560115_R01C01,GSM1051653_7800246043_R01C01,GSM1051787_7800246068_R03C02,GSM1051564_7800246123_R04C01,GSM1051557_7800246087_R03C02,GSM1051914_5730504013_R05C02,GSM1051623_7796814016_R01C02,GSM1051714_7800246034_R05C01,GSM1051645_7800246018_R05C01,GSM1051603_7800246140_R03C02,GSM1051617_7800246188_R06C02,GSM1051884_7766130166_R06C02,GSM1051612_7800246188_R06C01,GSM1051712_7800246034_R03C01,GSM1051996_5771710048_R05C02,GSM1052028_5730053011_R01C01,GSM1051571_7800246123_R05C02,GSM1051672_7800246054_R04C02,GSM1051888_5730192015_R06C01,GSM1051921_5730504014_R01C02,GSM1051812_7512560103_R03C02,GSM1051646_7800246018_R06C01,GSM1051808_7512560103_R05C01,GSM1052190_5730053041_R01C02,GSM1051574_7800246132_R02C01,GSM1051992_5771710048_R02C01,GSM1051804_7512560103_R01C01,GSM1052213_5730053048_R06C02,GSM1051527_7800246024_R03C01,GSM1051602_7800246140_R02C02,GSM1051747_7800246044_R02C01,GSM1051755_7800246044_R04C02,GSM1051851_7512560128_R01C01,GSM1052037_5730053011_R06C02,GSM1051989_5771710030_R03C02,GSM1051761_7800246046_R05C01
B,0.042,0.015,0.016,0.023,0.000,0.004,0.007,0.000,0.024,0.000,0.026,0.000,0.025,0.018,0.000,0.006,0.076,0.000,0.007,0.027,0.018,0.012,0.000,0.044,0.000,0.029,0.010,0.115,0.000,0.062,0.034,0.000,0.005,0.000,0.007,0.000,0.053,0.009,0.027,0.082,0.031,0.046,0.000,0.005,0.000,0.004,0.000,0.030,0.000,0.033
NK,0.061,0.061,0.046,0.016,0.017,0.040,0.056,0.000,0.182,0.000,0.055,0.000,0.072,0.036,0.102,0.047,0.035,0.101,0.054,0.022,0.092,0.069,0.026,0.023,0.000,0.060,0.080,0.021,0.000,0.054,0.022,0.033,0.000,0.000,0.140,0.000,0.008,0.022,0.023,0.068,0.059,0.035,0.042,0.092,0.000,0.075,0.091,0.201,0.000,0.060
CD4T,0.107,0.169,0.220,0.165,0.070,0.074,0.207,0.000,0.113,0.052,0.117,0.045,0.112,0.107,0.080,0.292,0.228,0.090,0.196,0.122,0.111,0.159,0.051,0.179,0.094,0.097,0.078,0.274,0.000,0.142,0.215,0.051,0.045,0.012,0.178,0.035,0.188,0.083,0.157,0.086,0.209,0.291,0.000,0.122,0.141,0.089,0.158,0.088,0.000,0.268
CD8T,0.064,0.115,0.000,0.005,0.027,0.000,0.028,0.046,0.039,0.024,0.038,0.000,0.086,0.109,0.073,0.095,0.098,0.070,0.033,0.076,0.052,0.076,0.053,0.133,0.012,0.084,0.019,0.051,0.000,0.045,0.035,0.140,0.003,0.000,0.015,0.025,0.056,0.121,0.074,0.073,0.092,0.062,0.040,0.017,0.027,0.162,0.071,0.124,0.000,0.074
Mono,0.107,0.080,0.093,0.105,0.144,0.117,0.070,0.124,0.060,0.139,0.079,0.120,0.059,0.088,0.121,0.037,0.103,0.089,0.093,0.088,0.096,0.078,0.122,0.059,0.074,0.094,0.171,0.068,0.095,0.118,0.069,0.103,0.093,0.080,0.092,0.141,0.074,0.093,0.063,0.094,0.045,0.061,0.124,0.074,0.093,0.076,0.094,0.116,0.124,0.044
Neutro,0.619,0.561,0.625,0.687,0.742,0.765,0.632,0.830,0.582,0.785,0.685,0.835,0.646,0.643,0.623,0.523,0.460,0.651,0.617,0.666,0.631,0.606,0.748,0.561,0.819,0.636,0.642,0.472,0.905,0.579,0.626,0.674,0.854,0.908,0.567,0.798,0.621,0.672,0.656,0.595,0.565,0.505,0.794,0.691,0.739,0.593,0.586,0.442,0.876,0.520
Eosino,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
